search,rank_test_score,mean_test_score,std_test_score,params
XGBoost (tuned),1,0.8278480484556847,0.013613839007836678,"{'subsample': 0.8, 'reg_lambda': 10.0, 'reg_alpha': 1.0, 'n_estimators': 700, 'min_child_weight': 3, 'max_depth': 8, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 1.0}"
XGBoost (tuned),2,0.8273695847420165,0.009363472036867894,"{'subsample': 0.7, 'reg_lambda': 3.0, 'reg_alpha': 1.0, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 10, 'learning_rate': 0.04, 'gamma': 0.5, 'colsample_bytree': 1.0}"
XGBoost (tuned),3,0.8262368224362504,0.006782695751780226,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 1.0, 'n_estimators': 500, 'min_child_weight': 1, 'max_depth': 8, 'learning_rate': 0.04, 'gamma': 0.1, 'colsample_bytree': 1.0}"
XGBoost (tuned),4,0.8253533969405432,0.011590054627908257,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 1.0, 'n_estimators': 900, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.06, 'gamma': 0.1, 'colsample_bytree': 1.0}"
XGBoost (tuned),5,0.8252988940002739,0.007315869123715554,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.06, 'gamma': 0, 'colsample_bytree': 0.65}"
XGBoost (tuned),6,0.8243976136209142,0.0076767201693349425,"{'subsample': 0.9, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 3, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 0.65}"
XGBoost (tuned),7,0.8242942492041668,0.007034647518097484,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 8, 'max_depth': 6, 'learning_rate': 0.04, 'gamma': 0.1, 'colsample_bytree': 0.5}"
XGBoost (tuned),8,0.8234868644390682,0.0059204603754376296,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 500, 'min_child_weight': 3, 'max_depth': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}"
XGBoost (tuned),9,0.8221158435474517,0.010775429002287751,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0, 'n_estimators': 900, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.06, 'gamma': 0, 'colsample_bytree': 1.0}"
XGBoost (tuned),10,0.8217673700762088,0.008388602223910746,"{'subsample': 0.9, 'reg_lambda': 3.0, 'reg_alpha': 0.1, 'n_estimators': 700, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.06, 'gamma': 0.1, 'colsample_bytree': 0.8}"
XGBoost (tuned),11,0.819607168881531,0.0064814864965462024,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0, 'n_estimators': 900, 'min_child_weight': 5, 'max_depth': 4, 'learning_rate': 0.1, 'gamma': 0, 'colsample_bytree': 1.0}"
XGBoost (tuned),12,0.8179017014986855,0.008950102535907802,"{'subsample': 0.9, 'reg_lambda': 1.0, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 1, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0, 'colsample_bytree': 1.0}"
