orbital_period,transit_duration,transit_depth,impact_parameter,eccentricity,planet_radius,semi_major_axis,eq_temperature,stellar_radius,stellar_mass,stellar_temp,stellar_logg,stellar_metallicity,transit_snr,planet_star_ratio,depth_radius_ratio,impact_factor,scaled_teq,log_orbital_period
14.85890852,3.5252,3269.0,0.255,0.0,5.94,0.1136,720.0,1.055,0.882,5356.0,4.338,0.2,927.323009383011,5.6303264167522125,550.3366076874397,0.24170593203229196,0.1344286780928998,2.7637313941663884
3.13877646,1.6663,174.1,0.436,0.0,0.97,0.037,1022.0,0.722,0.684,5242.0,4.556,-0.54,104.48292355342763,1.3434884439218229,179.48435104706078,0.6038772799483657,0.1949637542550622,1.4204002030935545
151.577009,2.59,467.9,0.0653,0.0,3.67,0.6083,502.0,1.674,1.308,6854.0,4.106,-0.32,180.6563009049031,2.192352334317602,127.49315327162036,0.039008339899438534,0.07324190252797755,5.027669445638644
0.66062715,4.56,248.5,1.208,0.0,26.13,0.0154,2327.0,1.075,1.124,6322.0,4.426,-0.12,54.49560208429779,24.306954133065926,9.51014123573895,1.1237198849117351,0.3680797215488643,0.5071953322243659
2.178150567,3.5065,511.3,1.228,0.0,34.19,0.0352,1796.0,1.254,1.227,6820.0,4.328,-0.3,145.8148735733998,27.264731048858813,14.954664669357573,0.9792655667738702,0.26334310846578546,1.156299444902862
18.525917446,5.9056,455660.0,0.415,0.0,64.42,0.1361,618.0,0.887,0.978,5492.0,4.533,0.2,77157.26138626704,72.62675013895137,7073.269061265615,0.46786869462379405,0.11252731243398992,2.9717426828932823
4.442520831,2.4779,531.5,0.966,0.0,3.98,0.0563,1392.0,1.33,1.209,6496.0,4.272,-0.08,214.496059366375,2.9924789530233435,133.542680014402,0.7263152433719975,0.21428571425272694,1.6942423415882348
0.566793614,5.723,31.4,0.9476,0.0,21.63,0.0133,7584.0,27.384,0.969,3789.0,1.549,0.56,5.486631926152031,0.7898772717690157,1.4516874039904113,0.0346041471441664,2.001583530746481,0.4490312469778987
189.456089,3.077,453.0,0.2906,0.0,2.2,0.6319,337.0,1.026,0.938,5991.0,4.387,-0.28,147.22127162129618,2.1442474227607966,205.9089973140921,0.2832355913883125,0.05625104322212467,5.249421664059632
417.829033,15.05,500.8,0.279,0.0,2.19,1.1157,248.0,0.975,1.058,6018.0,4.485,-0.04,33.27574529729267,2.246151542408674,228.67569466863256,0.28615355266302295,0.04120970421382358,6.037462800853356
18.01019956,3.516,177.7,0.966,0.0,1.93,0.1312,758.0,1.101,0.929,5931.0,4.322,-0.24,50.54037242879054,1.7529502697999366,92.07249115414966,0.8773833992884658,0.12780306860094368,2.9449756540780627
19.17893976,5.144,752.8,0.004,0.0,2.4,0.1392,640.0,0.881,0.979,5767.0,4.538,-0.06,146.34522815994785,2.7241739793711925,313.6665359722767,0.004540289965618654,0.1109762441284938,3.0046394743975626
31.71981013,4.819,363.4,0.125,0.0,3.09,0.1975,743.0,1.626,1.019,5869.0,4.024,-0.16,75.40982041713625,1.9003678349521311,117.60513993361167,0.07687572147864609,0.12659737602204849,3.487980708844849
136.830243,2.956,464.3,0.3813,0.0,17.22,0.6957,764.0,8.038,2.394,5096.0,3.007,0.07,157.07031222249248,2.1423236946599036,26.962832348267575,0.04743716752461215,0.14992150703494475,4.926022804746221
10.19154678,6.165,61.3,0.659,0.0,1.39,0.0967,1144.0,1.684,1.156,6212.0,4.049,-0.1,9.943226286581298,0.8254151868080839,44.100687697346984,0.391329933889588,0.18415969089115264,2.4151587415468097
227.83457,21.59,155.3,0.56,0.0,2.83,0.7638,449.0,2.193,1.143,6004.0,3.814,-0.36,7.193144641355042,1.2904690877933935,54.87630569741848,0.2553578406940991,0.07478347766909002,5.43299934074964
56.4148314,8.075,480.1,0.908,0.0,2.9,0.3024,535.0,1.112,1.157,6325.0,4.409,-0.04,59.455100996272336,2.6079113238207516,165.5516670511493,0.8165460282859458,0.08458498022378103,4.050302656708993
7.189379172,2.0351,8126.4,0.908,0.0,11.94,0.0768,1026.0,1.076,1.169,6214.0,4.442,0.07,3993.1187690438946,11.0966439622268,680.6029580734541,0.8438653867422057,0.1651110395614562,2.1028380918171687
0.373684977,0.9621,456.8,0.86,0.0,2.25,0.0102,2490.0,0.908,0.996,5970.0,4.521,-0.18,474.7942263857953,2.4779708392391635,203.02213199016356,0.947135520775858,0.4170854270658148,0.3174968931314002
578.88761,18.521,76.8,0.24,0.0,1.69,1.4388,315.0,1.917,1.185,6180.0,3.946,-0.14,4.146644125768364,0.88158535128568,45.44376009244965,0.12519555284530368,0.05097087377816005,6.362834308901428
8.70312154,4.807,32.0,0.886,0.0,0.72,0.085,945.0,1.082,1.081,6006.0,4.403,0.07,6.656957217192174,0.6654337657728597,44.44438271613512,0.8188532173260469,0.15734265731645974,2.272447641987592
1.529283907,14.0075,54.8,0.981,0.0,2.26,0.0281,2550.0,2.266,1.263,6438.0,3.829,-0.36,3.91218961897629,0.997351722263141,24.247776881514653,0.43292125643369084,0.396085740851804,0.9279362219643843
35.502865,8.149,115.9,0.783,0.0,2.18,0.2088,724.0,1.839,0.962,5528.0,3.892,-0.3,14.222602255172141,1.185426217821524,53.16511322701228,0.42577464612580423,0.13096960923824716,3.5973907506587044
63.68192888,12.6047,341720.0,0.583,0.0,71.45,0.3108,486.0,1.054,0.986,5979.0,4.386,-0.14,27110.520114677853,67.78930949780883,4782.645139501118,0.5531304049996157,0.08128449572147775,4.169481856156636
1.407020118,1.3766,181.9,0.167,0.0,1.12,0.0229,1350.0,0.849,0.804,5022.0,4.485,0.18,132.1370535107849,1.319197503889866,162.41056927627744,0.1967017706692925,0.26881720424754735,0.8783895168881498
5.868066282,4.1246,436.5,0.801,0.0,3.6,0.0674,1254.0,1.555,1.181,5918.0,4.127,0.21,105.82841831246222,2.31511105137553,121.24996631945379,0.5151122089310555,0.2118959107448638,1.9268825938331562
1.4951513,3.43,52.0,0.974,0.0,1.44,0.0257,1870.0,1.452,1.008,5635.0,4.117,0.14,15.160345434301622,0.9917348541770977,36.111086033968036,0.6707984360892314,0.3318544808639122,0.9143493686474388
33.65766894,40.787,15380.0,0.306,0.0,78.44,0.1949,1211.0,6.447,0.871,4774.0,2.759,-0.32,377.0809234049839,12.166897445804645,196.07342942282727,0.04746392935257804,0.2536656890964253,3.54551902697669
12.4246697,44.07,424.0,1.9583,0.0,168.91,0.1099,1099.0,1.59,1.144,6550.0,4.094,-0.32,9.621057190354954,106.23263758953611,2.510212524360828,1.2316344455129273,0.1677862595163685,2.5970940367403057
1.710279417,2.252,228.8,0.473,0.0,1.57,0.0292,1524.0,1.023,1.132,5834.0,4.472,0.36,101.59853392605066,1.5347003570866502,145.73239125325398,0.46236513942801627,0.2612272882651307,0.9970517354806201
384.6961,6.167,787.0,0.5221,0.0,1.78,0.8823,157.0,0.623,0.618,4228.0,4.64,-0.12,127.61470283530033,2.857138271046114,442.134583070459,0.8380403883781887,0.037133396396136845,5.95504975367745
40.606895,5.756,657.5,0.494,0.0,2.67,0.2259,521.0,1.027,0.93,5538.0,4.384,0.14,114.2286111486082,2.599802726579624,246.25458941775676,0.4810121898615484,0.0940772842011417,3.7282658987253083
24.85466504,9.182,776.2,0.746,0.0,7.61,0.1992,1095.0,2.527,1.7,6967.0,3.864,-0.02,84.53495049717377,3.0114748668480935,101.997358476037,0.29521159667131114,0.15716951339785137,3.252491050436474
8.667822346,4.9658,2121.9,1.276,0.0,67.37,0.085,1303.0,1.889,1.089,6266.0,3.923,-0.44,427.3026647664697,35.66435380394188,31.496214464951546,0.6754893194868611,0.20794765397255863,2.2688030872069525
126.586058,5.41,124.9,0.799,0.0,1.54,0.5029,460.0,1.249,1.057,6611.0,4.269,-0.5,23.08687188782405,1.2329854019332251,81.10384343906271,0.6397112572367837,0.06958100135084239,4.848791101618134
0.56676437,2.326,76.5,0.594,0.0,0.92,0.0139,2267.0,1.005,1.108,6039.0,4.478,0.07,32.88906582585304,0.915421974704503,83.15208353034399,0.5910441880157334,0.37539327697045977,0.4490125819331477
5.082722475,5.9139,1974.1,0.019,0.0,4.4,0.058,1059.0,1.0,1.0,5780.0,4.438,0.0,333.8067377184704,4.3999956000044005,448.65898894113883,0.018999981000019,0.18321799304788616,1.805452371249967
2.2502073,2.203,260.1,0.268,0.0,19.94,0.0382,3637.0,12.787,1.467,4507.0,2.391,0.1,118.06621967034968,1.559396139876739,13.04413174302248,0.020958784628233,0.8069669401360179,1.1787187789228786
33.3239576,37.217,2012.1,0.47,0.0,2.55,0.1684,416.0,0.555,0.572,5192.0,4.707,-1.98,54.064001556707915,4.594586316060691,789.0585140947003,0.8468453209994214,0.08012326654851246,3.535843582656849
62.134919,8.711,147.5,0.827,0.0,6.71,0.3875,925.0,4.912,2.006,5889.0,3.358,0.28,16.932611992582714,1.3660420671738462,21.982112968388527,0.1683631579065232,0.15707250803921335,4.145274007924746
249.36211832,8.3559,35830.0,1.17,0.0,48.69,0.7359,308.0,1.02,0.853,5940.0,4.352,-0.46,4287.98761498012,47.735247318384985,735.8800423930984,1.1470576989630403,0.05185185184312258,5.522908343116727
3.65034525,1.527,253.2,0.289,0.0,0.72,0.0359,578.0,0.45,0.463,3704.0,4.797,-0.2,165.8152155761522,1.5999964444523456,351.6661782414191,0.6422207950648998,0.15604751615657464,1.5369414641548977
7.05675145,2.0261,130.0,0.631,0.0,1.68,0.0778,1196.0,1.402,1.259,6388.0,4.244,0.1,64.16264539625615,1.198287305073249,77.3809063208891,0.4500710056554882,0.18722604881226892,2.0865104293679977
11.2901559,10.475,163.8,0.6285,0.0,0.88,0.0849,617.0,0.657,0.639,5025.0,4.609,-0.64,15.637230010765634,1.3394195747038435,186.13615211800897,0.9566195485242791,0.12278606962730625,2.5087986086073335
367.01607,15.48,738.6,0.633,0.0,2.46,0.9878,245.0,0.863,0.953,5931.0,4.545,-0.28,47.71317521232719,2.850518133814445,300.24378038870714,0.7334869832132291,0.041308379692917147,5.908126605693751
7.79668781,4.6699,361.3,0.005,0.0,2.44,0.0848,1116.0,1.276,1.334,6521.0,4.352,0.21,77.36780715479836,1.9122242067208413,148.07370980585662,0.00391849222688697,0.17113939577194612,2.17437526540619
35.7353616,8.491,778.8,0.878,0.0,5.47,0.2236,774.0,1.697,1.164,6366.0,4.045,-0.2,91.72063458713525,3.223333398153566,142.37657360574522,0.5173833132685249,0.12158341185649019,3.6037398224973205
61.25964956,12.1777,233260.0,0.741,0.0,54.72,0.3024,447.0,0.889,0.98,5912.0,4.532,-0.18,19154.6828091772,61.552236724143164,4262.7923197589125,0.8335198723061054,0.07560893097503231,4.1313135363435896
15.64588656,3.959,572.1,0.033,0.0,2.18,0.1229,710.0,0.916,1.008,5896.0,4.518,-0.08,144.50615193075222,2.379910065600365,262.4310722793246,0.036026161543491766,0.12042062413154331,2.8121631324502676
31.8134892,1.422,234.2,0.2316,0.0,1.18,0.186,496.0,0.776,0.848,5505.0,4.586,-0.26,164.69749318038455,1.5206165971435601,198.47440807253554,0.298453223642753,0.09009990915711173,3.4908396869450486
20.13490007,3.7962,1035.2,0.798,0.0,2.98,0.1339,544.0,0.826,0.789,4963.0,4.501,0.16,272.6936745446303,3.6077438162907796,347.382433764284,0.9661005253020275,0.10961112228297176,3.050925705831564
12.75800092,4.1828,187.9,0.011,0.0,1.49,0.1054,822.0,1.095,0.957,5782.0,4.34,-0.02,44.922051037092125,1.3607293509320997,126.10729791456517,0.01004565292634436,0.14216534068796863,2.6216205399740047
0.705891195,5.281,15.0,0.511,0.0,1.0,0.0214,4884.0,2.449,2.609,10346.0,4.077,0.07,2.840370603982086,0.4083297638506477,14.999985000015002,0.20865650932768096,0.4720664990844706,0.5340876691926869
2.618414643,4.99923,200860.0,0.356,0.0,109.33,0.0457,2582.0,2.361,1.854,8143.0,3.96,-0.2,40178.17940399233,46.306630111550135,1837.190141432451,0.15078350242121877,0.3170821564144563,1.2860359859895805
8.65298599,1.549,313.8,0.529,0.0,1.36,0.0735,734.0,0.749,0.707,5210.0,4.538,-0.4,202.5821803859391,1.815751914883959,230.73512445946733,0.7062740904217751,0.14088291743936987,2.267267296503154
180.921729,8.99,742.4,0.025,0.0,2.3,0.6135,302.0,0.848,0.937,5818.0,4.554,-0.22,82.58063597545762,2.7122609525224615,322.78246835544854,0.02948109731002676,0.05190787211208183,5.203576534134722
3.42806306,2.417,178.4,0.082,0.0,1.21,0.043,1131.0,0.914,0.899,5559.0,4.47,-0.02,73.81047835727003,1.3238497550877952,147.4378946794259,0.08971543794809853,0.20345385857106424,1.4879622559373975
4.06844957,2.8349,79.8,0.55,0.0,0.98,0.0504,1170.0,1.071,1.028,5751.0,4.391,0.21,28.149131133679795,0.9150318253671099,81.4284883382772,0.5135382693386842,0.2034428794638423,1.6230349661015617
1.33257715,5.158,27.1,0.326,0.0,0.44,0.0231,1553.0,0.837,0.928,5852.0,4.559,-0.3,5.253973390078831,0.5256863492397261,61.59076911188839,0.3894857951185244,0.26537935743927216,0.8469737292909665
6.95787,4.537,182.3,0.1686,0.0,1.39,0.0708,1047.0,1.025,0.975,6240.0,4.406,-0.38,40.180727313042254,1.35609623795489,131.1509847834642,0.16448764440229818,0.16778846151157234,2.0741613761085524
0.730956716,2.097,27.8,0.129,0.0,0.57,0.0159,2192.0,1.078,0.994,6028.0,4.371,-0.14,13.257027535990684,0.5287564668307357,48.771844259922354,0.11966593723011389,0.36363636357603907,0.5486742706821303
19.193103549,2.5425,6807.3,0.98,0.0,12.23,0.1396,656.0,0.892,0.985,5883.0,4.53,-0.14,2677.4030767342865,13.710746961046008,556.6066593126199,1.098653476845878,0.11150773413028935,3.0053411376486743
