orbital_period,transit_duration,transit_depth,impact_parameter,eccentricity,planet_radius,semi_major_axis,eq_temperature,stellar_radius,stellar_mass,stellar_temp,stellar_logg,stellar_metallicity,transit_snr,planet_star_ratio,depth_radius_ratio,impact_factor,scaled_teq,log_orbital_period,label
14.85890852,3.5252,3269.0,0.255,0.0,5.94,0.1136,720.0,1.055,0.882,5356.0,4.338,0.2,-0.2159479203834577,-0.07036732322311155,0.021950344072887436,-0.1734595513083936,-0.33438293376198824,0.07526712840539704,2.0
3.13877646,1.6663,174.1,0.436,0.0,0.97,0.037,1022.0,0.722,0.684,5242.0,4.556,-0.54,-0.2641954587598636,-0.08227546259841441,-0.3039104078245531,-0.028341473796577973,0.02596952361060976,-0.7382356155263269,2.0
151.577009,2.59,467.9,0.0653,0.0,3.67,0.6083,502.0,1.674,1.308,6854.0,4.106,-0.32,-0.25972900408620675,-0.07991745663188131,-0.34959407428686173,-0.2546782480823035,-0.6986148193296323,1.4462766227157726,0.0
0.66062715,4.56,248.5,1.208,0.0,26.13,0.0154,2327.0,1.075,1.124,6322.0,4.426,-0.12,-0.2671264841832107,-0.018486685952450795,-0.4532634798917433,0.17995374302576392,1.0564921260377358,-1.2912598236745776,0.0
2.178150567,3.5065,511.3,1.228,0.0,34.19,0.0352,1796.0,1.254,1.227,6820.0,4.328,-0.3,-0.26177194430170525,-0.010270462251544267,-0.44847948176840813,0.12207248583336748,0.433017302940689,-0.8981713729109169,0.0
18.525917446,5.9056,455660.0,0.415,0.0,64.42,0.1361,618.0,0.887,0.978,5492.0,4.533,0.2,4.2538232303034045,0.11573785648911451,5.753525751366138,-0.08283861870042421,-0.464757114077913,0.2012358807671722,0.0
4.442520831,2.4779,531.5,0.966,0.0,3.98,0.0563,1392.0,1.33,1.209,6496.0,4.272,-0.08,-0.2577447971022068,-0.07769483488741008,-0.34427847138104445,0.020718072102720576,0.1409890496084243,-0.5724006132945689,0.0
0.566793614,5.723,31.4,0.9476,0.0,21.63,0.0133,7584.0,27.384,0.969,3789.0,1.549,0.56,-0.27000014360891716,-0.08381330448548899,-0.4603442884286341,-0.2564429597010279,10.780393524873169,-1.3264831872506821,0.0
189.456089,3.077,453.0,0.2906,0.0,2.2,0.6319,337.0,1.026,0.938,5991.0,4.387,-0.28,-0.261689479622411,-0.08005108426023715,-0.28069157890544344,-0.15681907336847975,-0.7997577977795903,1.580566691581329,1.0
417.829033,15.05,500.8,0.279,0.0,2.19,1.1157,248.0,0.975,1.058,6018.0,4.485,-0.04,-0.2683707184789192,-0.07976801117294635,-0.26068691940739935,-0.15564987836485392,-0.8892956957628345,2.057793477777505,0.0
18.01019956,3.516,177.7,0.966,0.0,1.93,0.1312,758.0,1.101,0.929,5931.0,4.322,-0.24,-0.26735840056389987,-0.08113804417431586,-0.3807175294732133,0.08124942138254616,-0.3738237805137421,0.18502613924342312,2.0
19.17893976,5.144,752.8,0.004,0.0,2.4,0.1392,640.0,0.881,0.979,5767.0,4.538,-0.06,-0.2617408467607514,-0.07844014251078807,-0.18600710027269216,-0.2684892167598597,-0.47399029442348656,0.22115772158582325,2.0
31.71981013,4.819,363.4,0.125,0.0,3.09,0.1975,743.0,1.626,1.019,5869.0,4.024,-0.16,-0.2659001711133889,-0.08072854213030903,-0.35828248160649134,-0.2395052045856259,-0.3810010124788413,0.5138624716066953,2.0
136.830243,2.956,464.3,0.3813,0.0,17.22,0.6957,764.0,8.038,2.394,5096.0,3.007,0.07,-0.26111197741686654,-0.08005642806433956,-0.4379281355686878,-0.2513009095167825,-0.2421574120501844,1.3847208263291875,0.0
10.19154678,6.165,61.3,0.659,0.0,1.39,0.0967,1144.0,1.684,1.156,6212.0,4.049,-0.1,-0.26973882951990297,-0.08371458593160963,-0.42286943138133265,-0.11350685868350177,-0.0383447719948787,-0.1358236370365351,1.0
227.83457,21.59,155.3,0.56,0.0,2.83,0.7638,449.0,2.193,1.143,6004.0,3.814,-0.36,-0.2699000815930595,-0.08242274175530527,-0.41340110290067866,-0.16798938159240756,-0.6894381497763261,1.691738787267325,1.0
56.4148314,8.075,480.1,0.908,0.0,2.9,0.3024,535.0,1.112,1.157,6325.0,4.409,-0.04,-0.2668356820963848,-0.07876310127788218,-0.31615278953199344,0.05687255564880337,-0.6310918858339941,0.8543968465996383,2.0
